PilotID, PilotName,Active
bc97ceb8ebdeec4bbaedfb93dc06dfff,GIMP 1-1,
70b8afe7e597b3d6e16cd06d7e99c2ed,JSW=CrimsonAngel,
66da139623630056fce2fbac07e5a50b,JSW011= Dunky,
1819ac6376d2289564f5960fb0c88c8d,AnuttySquirrel,
7a0b0f33d467c48a095ea9eac4f836d5,Hawk 3-4 VAF McN@$ty,
25e873c6f2e21552e7eb837adf496179,JSW= MiMiKiwi,
880046c63693ceeee0727f5e56209ae4,JSW Scooby,
0d6eb28a265bc449a9a7c5c0e6ebdd7c,VIGIT,
63620908d21196f4a0fc3d1229e8f80a,NightGarter,
c9c76ed7e1250b5c7d37a3120dbe1f75,Devil 2 1 Michael,
d924195f7dfe499a192c11f00489df4a,JSW=Mailman,
aa66a7c9e81d23c6acd0f22d79bb9ad6,Metal 1-4 41Sqn Sneezy,
86b02517437c6b7672e97d355cbd14a4,E-TF[133] ALPHA-WHISKEY,
23fb9576d399a1082fa7f4fb282f970b,{TFT} LynxOfTheSky >>>*,
b15ce22d8f2c8a8df4fb777a9263a5d3,JSW= VELCRO,
6c9eccd7ed6b35bdf36bd4dae5223a9e,Sukebe,
00f6b5bdf65feefdde90373db1815f4b,Metal 1-3 41Sqn Ade,
a13223be84828177475c055fbff8b0e1,JSW= Harkonnen,
fa60e6de2b1e6b3dca7e0dd8475c840f,Cobra 1-2 (Edwardo),
02decd2d485c2c35a8e817dc751951d5,JSW= BUCK,TRUE
b3c10e0d3107ab7b7bf3439cd1779b1a,Ducksen,
host,host,
88f7ee5fae7ba4b2857fb0f2de584378,E-TF[103] Super,
c1316ce37f1f6b38eeca31f120cd4540,№15 | VIPER,
deff02349efaa365d0665370e17f5c96,Ninja 1-1 [FTQ] Chesty,
ac593e0bbfdf01ec0c5c1038167e019d,№15 | Neoshot (FC),
b90884d0bb68395f9d208aef54f2a841,SeeBread,
779a2c65fbebc6abc99f9dace3a68af8,JSW=Podo,
a738c4f64c11171c5e968d3a90ae1899,Tweedy,
a7eed3e754fa61f3546530559dc87e18,Venom,
05be445e57c28e2e19b5b90487252fd1,JSW= Solex,
dc26a6b0d67818741258099dac1b0755,JSW= Robot,
18382c57f2ce994b07f6396212badbe8,2nd Lt LATEO,
0a681faf4ca15c9cb2322f93fb618250,Connor,
f82335ebb8332649d25792dd6628fc8c,RAMPAGE12 ETF lasskii,
e2d4db8d51cd658e68efd2c36a4dc7e7,JSW=Sideburn,
fc45bad20679f534e57f0f2005a880d2,Ronin 1-2 41SQN Patrick,
a35f9fb41f82a91391392bb170450b5f,Weagle,
4ee1120a7f1d2cb2da38f1b5d9864a82,evilivan,
e63f3295aaeae40a45eabde070ecf50f,Metal 1-2 41 SQN DAVE,
339df0e69cc97e60f2befbcfbdcfcee2,Bogusheadbox,
43535f8d847eee091f96d3d90cbdff11,E-TF[007] Kingston,
e97263dc4e93acc39e37d4b76054c16c,JSW=SwiftOne,
8ee67d60c11aede8fed0bb82b90072ce,LAZARUS 1-1,
34c23a0cab571e621d0005ccf0c34970,№15 | Verticle Charlie,
adced234c71461042b6824d96cc37224,№20 | Freaky,
dacaba8cb4b14d78ed84e897ed653eb3,JSW= Varry,
4735c8e0dedb622c1f850dbb78470d20,JSW=Carto,
b1bb615cf5cbb87b85beb7b274dccf54,79th FS | Marco | JTFF,
244dfcf57cb994fe09ce8fd1140391aa,HAMMER 1-2 [VAF]FANTASTIC,
2c100601d5af772a82581ac2d8635d05,Doc,
dc3ca91b5f21857fe8ff178b147b6fd3,Jester1(Kingsnake),
ebfce242af88d0a64dd8820ece14708e,jester 2-2 | jester224,
c82a053e0cc44ca3fafbcd435609b6e9,Duke Chris,
d49354c26430bcd08d6b03c9457b3480,Dagger 3-1 ¦[VAF] Hammi,
d03a11990bbf6b289c317cf97b5db642,[043]Paul(RAFair UK),
3363ce613dd143a789de661e9f58e1d3,JeeBee,
d786382e3b3935526e27537fc3994bd1,Roman 3-2 | Burty,
2696b72c00faf3784b85aa81140f6949,Smithy,
44187430fcb187ce1b5fc3fd0e5019f0,Saxon-1-3,
6b9bef9868635c06f8c089d212d5ca32,"SAXON 1 Red Sqn ""Winkle""",
f1a2d5f035fce5eeb816cf670f365404,"Dave H ""Yoda""",
e473f6817732c53fd33b3b5b923bb3b8,dangerman,
7567ee520811f12f54cd2471c4ff0016,JSW= Cowan,
7d934d4600703df35640095649e41a30,Tiger 3 (Pixel),
3b098502440fbc185006a2c60838a9c8,JSW=Pineapples,
a731686bbb69b87e11dff7b61b6f88c6,Gryphon,
f90161d22bbe96060013f288a74e805f,Roman 3-1 | bez,
02845c49dc803de6f40886c161033115,"Hentie ""Judge"" Loots",
12b35388c4fe1fc68daa27a53ab1c8ea,[BSD] Shin,
d4b520cd0d1f3cfcce78a9eb77bd5370,№15 | Xbox,
c84b48621fba4484def31df8908cb298,GRIM 1-2 E-TF[819] Smooth,
7a42b9d3472eea06d42ba54ed7f4c4a9,Flynn (Phil),
8456b92c1d10b237d8f337c00e3914d7,SNAPPER1,
474bf1da38ae9b12900d9270ae29e70c,[BSD] Joose,
b440577b8dae81471325fff55517b8a5,№15 | Cougar,
d30a8bc09f9e453798bfc601e9f607c6,JSW= Madog,TRUE
31f79da84f0afe4a37b7db5e544184ef,JSW=lenny,
5d0a9fa06ccc34c06ca48d5e644ac976,[Grim1-1]E-TF[101] Breeze,
6801be787dd849e0898e44f7fc8ffda5,TALON 1-1 ETF EletroBull,
5bcf411dde9b31335cbb6dea611e80a0,JTFF | Sereign | VF84,
67685fc9d16c0e4701d43a82ecb4ca82,JSW 1-1 SLIPPY,
606b3219538f69a2c4571c9b8e34eab3,tempest1-1DirefultigerJSW,
520d768a67604b6328ecc5c6cd829fc5,Falcon,
